IPK,Jumlah_Absensi,Waktu_Belajar_Jam,Lulus,Rasio_Absensi,IPK_x_Study
3.8,3,10,1,0.21428571428571427,38.0
2.5,8,5,0,0.5714285714285714,12.5
3.4,4,7,1,0.2857142857142857,23.8
2.1,12,2,0,0.8571428571428571,4.2
3.9,2,12,1,0.14285714285714285,46.8
2.8,6,4,0,0.42857142857142855,11.2
3.2,5,8,1,0.35714285714285715,25.6
2.7,7,3,0,0.5,8.100000000000001
3.6,4,9,1,0.2857142857142857,32.4
2.3,9,4,0,0.6428571428571429,9.2
3.7,3,11,1,0.21428571428571427,40.7
2.6,10,3,0,0.7142857142857143,7.800000000000001
3.5,2,10,1,0.14285714285714285,35.0
2.2,11,2,0,0.7857142857142857,4.4
3.3,5,8,1,0.35714285714285715,26.4
2.9,7,4,0,0.5,11.6
3.1,4,9,1,0.2857142857142857,27.900000000000002
2.4,9,3,0,0.6428571428571429,7.199999999999999
3.0,6,7,1,0.42857142857142855,21.0
2.0,12,1,0,0.8571428571428571,2.0
3.85,2,11,1,0.14285714285714285,42.35
2.55,8,4,0,0.5714285714285714,10.2
3.45,3,9,1,0.21428571428571427,31.05
2.15,11,2,0,0.7857142857142857,4.3
3.95,1,13,1,0.07142857142857142,51.35
2.75,7,3,0,0.5,8.25
3.25,4,8,1,0.2857142857142857,26.0
2.65,9,2,0,0.6428571428571429,5.3
3.65,3,10,1,0.21428571428571427,36.5
2.35,10,3,0,0.7142857142857143,7.050000000000001
3.15,5,7,1,0.35714285714285715,22.05
2.85,6,4,0,0.42857142857142855,11.4
3.05,4,9,1,0.2857142857142857,27.45
2.45,10,2,0,0.7142857142857143,4.9
3.55,2,11,1,0.14285714285714285,39.05
2.25,11,1,0,0.7857142857142857,2.25
3.75,3,12,1,0.21428571428571427,45.0
2.95,7,3,0,0.5,8.850000000000001
3.1,5,8,1,0.35714285714285715,24.8
3.4,4,9,1,0.2857142857142857,30.599999999999998
2.6,9,3,0,0.6428571428571429,7.800000000000001
3.3,3,10,1,0.21428571428571427,33.0
2.3,10,2,0,0.7142857142857143,4.6
3.2,5,7,1,0.35714285714285715,22.400000000000002
3.0,4,8,1,0.2857142857142857,24.0
3.5,2,12,1,0.14285714285714285,42.0
2.5,9,3,0,0.6428571428571429,7.5
